,clssifiers,BA,TN,FP,FN,TP
0,LogisticR_lbfgs,0.5,0.0,1570.0,0.0,58.0
1,LogisticR_liblinear,0.5,0.0,1570.0,0.0,58.0
2,LogisticR_newtonc,0.5677135954315835,754.0,816.0,20.0,38.0
3,LogisticR_newtonch,0.5,0.0,1570.0,0.0,58.0
4,DecisionTree,0.5491104766088293,1017.0,553.0,36.0,22.0
5,NearestC,0.0,0.0,0.0,0.0,0.0
6,LDA_le,0.5,1570.0,0.0,58.0,0.0
7,QDA,0.5,1570.0,0.0,58.0,0.0
8,BernoulliNB,0.5,1570.0,0.0,58.0,0.0
9,GaussianNB,0.0,0.0,0.0,0.0,0.0
10,AdaBoost,0.5,1570.0,0.0,58.0,0.0
11,RandomForest,0.5474412475291017,1476.0,94.0,53.0,5.0
12,KNN,0.5,1570.0,0.0,58.0,0.0
